㐀,廿一,TM
㵡,水一月山,EMBU
㵢,水一月田,EMBW
㵣,水日女人,EAVO
㵤,水尸一人,ESMO
㵥,水十心廿,EJPT
㵦,水卜大月,EYKB
㵧,水廿日女,ETAV
㵨,尸十水,SJE
㵩,水廿心木,ETPD
㵪,水廿土人,ETGO
㵫,水弓木日,ENDA
㵬,水月弓廿,EBNT
㵭,水十日火,EJAF
㵮,水大廿手,EKTQ
㵯,水竹弓火,EHNF
㵰,水竹難金,EHXC
㵱,水一火戈,EMFI
㵲,水人廿手,EOTQ
㵳,水十尸竹,EJSH
㵴,水戈一尸,EIMS
㵵,水尸水人,ESEO
㵶,水十戈土,EJIG
㵷,卜十水卜十,YJEYJ
㵸,水人一月,EOMB
㵹,水山廿大,EUTK
㵺,水竹竹十,EHHJ
㵻,水月竹水,EBHE
㵼,水月竹火,EBHF
㵽,水田田田,EWWW
㵾,水手月山,EQBU
㵿,水竹日日,EHAA
㶀,水月尸竹,EBSH
㶁,水月戈山,EBIU
㶂,水水廿金,EETC
㶃,水水人火,EEOF
㶄,水日弓難,EANX
㶅,水竹月木,EHBD
㶆,水卜口日,EYRA
㶇,水木廿金,EDTC
㶈,水火火戈,EFFI
㶉,水月大一,EBKM
㶊,水尸中金,ESLC
㶋,水廿人一,ETOM
㶌,水尸十廿,ESJT
㶍,水弓火手,ENFQ
㶎,水卜田女,EYWV
㶏,水弓中心,ENLP
㶐,水戈人心,EIOP
㶑,水人人人,EOOO
㶒,水日弓火,EANF
㶓,水廿戈尸,ETIS
㶔,水田中大,EWLK
㶕,水竹日日,EHAA
㶖,水人中火,EOLF
㶗,人火竹日水,OFHAE
㶘,水竹一十,EHMJ
㶙,水水廿一,EETM
㶚,水一田月,EMWB
㶛,水卜尸金,EYSC
㶜,水尸廿弓,ESTN
㶝,水水戈心,EEIP
㶞,水日卜女,EAYV
㶟,水田田火,EWWF
㶠,水尸火十,ESFJ
㶡,竹弓火,HNF
㶢,火大弓,FKN
㶣,一十火,MJF
㶤,火弓戈,FNI
㶥,火一十,FMJ
㶦,火弓戈弓,FNIN
㶧,火人月,FOB
㶨,一火火,MFF
㶩,火中月山,FLBU
㶪,一火火,MFF
㶫,大金火,KCF
㶬,火木十,FDJ
㶭,火女戈尸,FVIS
㶮,一月火,MBF
㶯,火竹竹中,FHHL
㶰,火廿一,FTM
㶱,火木一,FDM
㶲,火月手,FBQ
㶳,中手火,LQF
㶴,火弓戈弓,FNIN
㶵,人土火,OGF
㶶,火竹月女,FHBV
㶷,火心日,FPA
㶸,火大尸尸,FKSS
㶹,火一水,FME
㶺,火一大口,FMKR
㶻,竹水手十火,HEQJF
㶼,火戈人大,FIOK
㶽,火口人月,FROB
㶾,一田一火,MWMF
㶿,火十月木,FJBD
㷀,火火弓十,FFNJ
㷁,火弓戈月,FNIB
㷂,尸水火,SEF
㷃,火尸一女,FSMV
㷄,火田木,FWD
㷅,尸水火,SEF
㷆,火竹口十,FHRJ
㷇,弓弓大火,NNKF
㷈,火大中山,FKLU
㷉,尸火木戈,SFDI
㷊,木木火,DDF
㷋,火火火,FFF
㷌,火尸一月,FSMB
㷍,火人一月,FOMB
㷎,火日心女,FAPV
㷏,竹十火,HJF
㷐,火竹難土,FHXG
㷑,火一田土,FMWG
㷒,火田中月,FWLB
㷓,火心大心,FPKP
㷔,火月中日,FBLA
㷕,廿田火,TWF
㷖,日火尸竹口,AFSHR
㷗,中山火,LUF
㷘,火戈口木,FIRD
㷙,火廿月弓,FTBN
㷚,火卜口弓,FYRN
㷛,人木火,ODF
㷜,火卜金大,FYCK
㷝,火十金大,FJCK
㷞,火一日木,FMAD
㷟,火卜竹口,FYHR
㷠,火火弓戈手,FFNIQ
㷡,月尸火,BSF
㷢,廿手一火,TQMF
㷣,火廿土手,FTGQ
㷤,土火竹弓水,GFHNE
㷥,火火弓水一,FFNEM
㷦,尸火火,SFF
㷧,火一竹火,FMHF
㷨,火山竹十,FUHJ
㷩,中山火,LUF
㷪,火人土尸,FOGS
㷫,土水火,GEF
㷬,火廿日大,FTAK
㷭,卜十火,YJF
㷮,火廿田日,FTWA
㷯,火土手大手,FGQKQ
㷰,火卜山月,FYUB
㷱,戈戈火,IIF
㷲,火竹土尸,FHGS
㷳,一人土火,MOGF
㷴,一竹木火,MHDF
㷵,火田土火,FWGF
㷶,人月火,OBF
㷷,火口山金,FRUC
㷸,火日一十,FAMJ
㷹,火廿卜十,FTYJ
㷺,弓大火,NKF
㷻,火人廿火,FOTF
㷼,廿中心火,TLPF
㷽,火廿土口,FTGR
㷾,火卜心人,FYPO
㷿,火人一人,FOMO
㸀,火卜口土,FYRG
㸁,火廿金木,FTCD
㸂,卜人火,YOF
㸃,田口火,WRF
㸄,火卜難,FYX
㸅,火竹日中,FHAL
㸆,火竹土卜,FHGY
㸇,火手人金,FQOC
㸈,人土火,OGF
㸉,火火火,FFF
㸊,火木中金,FDLC
㸋,月火竹木田,BFHDW
㸌,火一月土,FMBG
㸍,火卜廿戈,FYTI
㸎,火尸十十,FSJJ
㸏,戈木中卜火,IDLYF
㸐,廿土火,TGF
㸑,竹月木木火,HBDDF
㸒,月竹土,BHG
㸓,月日,BA
㸔,竹火大山,HFKU
㸕,竹人人土水,HOOGE
㸖,金大月一,CKBM
㸗,金大月一口,CKBMR
㸘,金大田中弓,CKWLN
㸙,金大十大日,CKJKA
㸚,大大大大,KKKK
㸛,女一尸竹口,VMSHR
㸜,女一十金一,VMJCM
㸝,中中弓人,LLNO
㸞,中中中中中,LLLLL
㸟,中中心日,LLPA
㸠,中中中一人,LLLMO
㸡,中中竹十木,LLHJD
㸢,中中廿竹月,LLTHB
㸣,中中廿金木,LLTCD
㸤,卜十中中十,YJLLJ
㸥,中中弓口戈,LLNRI
㸦,一女木人,MVDO
㸧,一竹日女,MHAV
㸨,竹手女中,HQVL
㸩,竹手一十,HQMJ
㸪,竹手中中中,HQLLL
㸫,竹手竹一中,HQHML
㸬,竹手十月,HQJB
㸭,竹手日山,HQAU
㸮,竹手金尸竹,HQCSH
㸯,竹手卜十,HQYJ
㸰,竹手十心,HQJP
㸱,竹手人心木,HQOPD
㸲,竹手人尸,HQOS
㸳,竹手人戈戈,HQOII
㸴,一口竹手,MRHQ
㸵,竹手土口,HQGR
㸶,竹手田大,HQWK
㸷,手竹竹手,QHHQ
㸸,竹手竹一口,HQHMR
㸹,竹手月木戈,HQBDI
㸺,水竹竹手,EHHQ
㸻,竹手戈人大,HQIOK
㸼,竹手竹水十,HQHEJ
㸽,竹手月山金,HQBUC
㸾,竹手尸戈心,HQSIP
㸿,竹手土月弓,HQGBN
㹀,竹手十月木,HQJBD
㹁,竹手卜口火,HQYRF
㹂,尸水竹手,SEHQ
㹃,中卜竹手,LYHQ
㹄,竹手田金水,HQWCE
㹅,竹手心大心,HQPKP
㹆,竹手月十十,HQBJJ
㹇,竹手日心女,HQAPV
㹈,十大竹手,JKHQ
㹉,竹手一竹火,HQMHF
㹊,竹手人月土,HQOBG
㹋,竹手人中竹,HQOLH
㹌,竹手卜竹一,HQYHM
㹍,竹手卜金月,HQYCB
㹎,竹手田女火,HQWVF
㹏,竹手廿中一,HQTLM
㹐,竹人竹手,HOHQ
㹑,竹手戈心金,HQIPC
㹒,竹手廿金人,HQTCO
㹓,竹手土土山,HQGGU
㹔,竹手一田一,HQMWM
㹕,一金竹手,MCHQ
㹖,竹手火手人,HQFQO
㹗,竹手土弓戈,HQGNI
㹘,竹手一月月,HQMBB
㹙,竹手火火山,HQFFU
㹚,竹手火火口,HQFFR
㹛,竹手一金水,HQMCE
㹜,戈大戈大,IKIK
㹝,大竹竹女心,KHHVP
㹞,大竹竹一中,KHHML
㹟,大竹木大,KHDK
㹠,大竹心山,KHPU
㹡,大竹卜女戈,KHYVI
㹢,大竹大尸口,KHKSR
㹣,大竹竹水卜,KHHEY
㹤,大竹土戈,KHGI
㹥,大竹卜土,KHYG
㹦,大竹尸竹口,KHSHR
㹧,大竹中月大,KHLBK
㹨,大竹中田,KHLW
㹩,大竹水土,KHEG
㹪,大竹月月一,KHBBM
㹫,大竹大弓,KHKN
㹬,大竹十中大,KHJLK
㹭,大竹中田心,KHLWP
㹮,大竹一日,KHMA
㹯,大竹人木,KHOD
㹰,大竹火一山,KHFMU
㹱,大竹口卜人,KHRYO
㹲,大竹十大木,KHJKD
㹳,大竹一一口,KHMMR
㹴,大竹一中大,KHMLK
㹵,大竹一女一,KHMVM
㹶,大竹弓大土,KHNKG
㹷,大月戈大,KBIK
㹸,大竹竹日山,KHHAU
㹹,大竹戈中人,KHILO
㹺,大竹水日,KHEA
㹻,大竹竹木女,KHHDV
㹼,大竹心火木,KHPFD
㹽,大竹戈戈,KHII
㹾,大竹竹卜口,KHHYR
㹿,大竹卜日十,KHYAJ
㺀,大竹心竹心,KHPHP
㺁,大竹女女田,KHVVW
㺂,大竹戈竹口,KHIHR
㺃,大竹廿心口,KHTPR
㺄,大竹人一弓,KHOMN
㺅,大竹弓一大,KHNMK
㺆,大竹戈大人,KHIKO
㺇,大竹尸中大,KHSLK
㺈,大竹山一戈,KHUMI
㺉,土大竹弓水,GKHNE
㺊,大竹廿土心,KHTGP
㺋,大竹金戈一,KHCIM
㺌,大竹廿難金,KHTXC
㺍,大竹十人金,KHJOC
㺎,大竹戈中月,KHILB
㺏,大竹中中女,KHLLV
㺐,大竹女女木,KHVVD
㺑,大竹戈戈竹,KHIIH
㺒,大竹尸一竹,KHSMH
㺓,大竹手一金,KHQMC
㺔,大竹戈大火,KHIKF
㺕,大竹竹木田,KHHDW
㺖,大竹弓十大,KHNJK
㺗,大竹口口十,KHRRJ
㺘,大竹人土火,KHOGF
㺙,大竹十田人,KHJWO
㺚,大竹卜土手,KHYGQ
㺛,大竹尸火廿,KHSFT
㺜,大竹廿田女,KHTWV
㺝,大竹尸戈廿,KHSIT
㺞,大竹竹難金,KHHXC
㺟,大竹尸一土,KHSMG
㺠,大竹十金人,KHJCO
㺡,大竹一竹一,KHMHM
㺢,大竹一月土,KHMBG
㺣,大竹卜廿戈,KHYTI
㺤,大竹人戈一,KHOIM
㺥,大竹弓口戈,KHNRI
㺦,大竹尸十廿,KHSJT
㺧,大竹口口口,KHRRR
㺨,一土戈,MGI
㺩,一土女中,MGVL
㺪,一土卜,MGY
㺫,一土中弓,MGLN
㺬,一土竹弓戈,MGHNI
㺭,一土弓木,MGND
㺮,一土一一尸,MGMMS
㺯,一土大,MGK
㺰,一土一中月,MGMLB
㺱,人尸一土戈,OSMGI
㺲,一土弓土,MGNG
㺳,一土卜水,MGYE
㺴,一土戈大,MGIK
㺵,一土弓人,MGNO
㺶,一土卜十,MGYJ
㺷,一土戈十金,MGIJC
㺸,人戈一土戈,OIMGI
㺹,一土戈廿,MGIT
㺺,一土月山,MGBU
㺻,一土卜中月,MGYLB
㺼,一土弓卜人,MGNYO
㺽,一土一火一,MGMFM
㺾,一土月口,MGBR
㺿,一土尸中中,MGSLL
㻀,一土中田大,MGLWK
㻁,一土田口,MGWR
㻂,一土廿廿,MGTT
㻃,廿田一土戈,TWMGI
㻄,一土竹一人,MGHMO
㻅,一土人一戈,MGOMI
㻆,一土戈月,MGIB
㻇,一土人一土,MGOMG
㻈,一土竹一口,MGHMR
㻉,一土卜中竹,MGYLH
㻊,一土弓日山,MGNAU
㻋,一土木中,MGDL
㻌,一土人一木,MGOMD
㻍,一土口女大,MGRVK
㻎,大一土土,KMGG
㻏,一土尸一火,MGSMF
㻐,一土戈金水,MGICE
㻑,一土竹木木,MGHDD
㻒,一土田竹木,MGWHD
㻓,一土尸十水,MGSJE
㻔,一土竹十一,MGHJM
㻕,一土尸山山,MGSUU
㻖,一土中水,MGLE
㻗,中卜一土戈,LYMGI
㻘,一土十中中,MGJLL
㻙,一土卜戈月,MGYIB
㻚,一土月月,MGBB
㻛,一土日心竹,MGAPH
㻜,一土人人人,MGOOO
㻝,一土木中弓,MGDLN
㻞,一土戈尸月,MGISB
㻟,一土大一月,MGKMB
㻠,一土十金大,MGJCK
㻡,一土心廿木,MGPTD
㻢,一土卜尸木,MGYSD
㻣,一土廿一女,MGTMV
㻤,一土廿心口,MGTPR
㻥,一土廿金田,MGTCW
㻦,一土田中月,MGWLB
㻧,一土弓手木,MGNQD
㻨,尸戈一土戈,SIMGI
㻩,一土廿難金,MGTXC
㻪,一土人土尸,MGOGS
㻫,一土田廿十,MGWTJ
㻬,一土一月尸,MGMBS
㻭,一土卜戈十,MGYIJ
㻮,一土月人火,MGBOF
㻯,一土卜心木,MGYPD
㻰,一土手十一,MGQJM
㻱,一土卜竹十,MGYHJ
㻲,一土中中女,MGLLV
㻳,一土廿竹弓,MGTHN
㻴,一土日田水,MGAWE
㻵,一土尸弓木,MGSND
㻶,一土竹中手,MGHLQ
㻷,一土木月月,MGDBB
㻸,一土一山日,MGMUA
㻹,一人一土戈,MOMGI
㻺,一木一土戈,MDMGI
㻻,一土卜木大,MGYDK
㻼,一土一田十,MGMWJ
㻽,一土人土尸,MGOGS
㻾,卜女土戈,YVGI
㻿,一土田中戈,MGWLI
㼀,一土卜土手,MGYGQ
㼁,一土廿土戈,MGTGI
㼂,竹月一土戈,HBMGI
㼃,一土女女女,MGVVV
㼄,一土女戈田,MGVIW
㼅,一土戈廿金,MGITC
㼆,一土火火土,MGFFG
㼇,一土山人尸,MGUOS
㼈,一土田中土,MGWLG
㼉,竹人中月山,HOLBU
㼊,心山竹女人,PUHVO
㼋,十口竹女人,JRHVO
㼌,竹人竹女人,HOHVO
㼍,手木竹女人,QDHVO
㼎,竹人卜金大,HOYCK
㼏,月女竹女人,BVHVO
㼐,戈月竹女人,IBHVO
㼑,木田竹女人,DWHVO
㼒,竹人日一竹,HOAMH
㼓,竹人廿難金,HOTXC
㼔,田廿竹女人,WTHVO
㼕,火田竹女人,FWHVO
㼖,竹人女弓戈,HOVNI
㼗,一弓一女弓,MNMVN
㼘,山一女弓,UMVN
㼙,中月一女弓,LBMVN
㼚,卜弓一女弓,YNMVN
㼛,一廿一女弓,MTMVN
㼜,中大一女弓,LKMVN
㼝,弓山一女弓,NUMVN
㼞,一十一女弓,MJMVN
㼟,竹日一女弓,HAMVN
㼠,十心一女弓,JPMVN
㼡,竹木一女弓,HDMVN
㼢,尸中一女弓,SLMVN
㼣,一日一女弓,MAMVN
㼤,手竹一女弓,QHMVN
㼥,十尸一女弓,JSMVN
㼦,一弓一女弓,MNMVN
㼧,弓月一女弓,NBMVN
㼨,人口一女弓,ORMVN
㼩,戈尸一女弓,ISMVN
㼪,大人一女弓,KOMVN
㼫,田木一女弓,WDMVN
㼬,土十一女弓,GJMVN
㼭,土口一女弓,GRMVN
㼮,十女一女弓,JVMVN
㼯,木田一女弓,DWMVN
㼰,竹十一女弓,HJMVN
㼱,中心月金弓,LPBCN
㼲,一大一女弓,MKMVN
㼳,火山一女弓,FUMVN
㼴,田月一女弓,WBMVN
㼵,日人一女弓,AOMVN
㼶,人弓一女弓,ONMVN
㼷,山月一女弓,UBMVN
㼸,十口一女弓,JRMVN
㼹,廿山一女弓,TUMVN
㼺,戈口一女弓,IRMVN
㼻,竹人一女弓,HOMVN
㼼,一火一女弓,MFMVN
㼽,大大一女弓,KKMVN
㼾,戈心一女弓,IPMVN
㼿,卜土一女弓,YGMVN
㽀,廿大一女弓,TKMVN
㽁,一竹木弓,MHDN
㽂,人一一女弓,OMMVN
㽃,竹田一女弓,HWMVN
㽄,廿中一女弓,TLMVN
㽅,弓廿一女弓,NTMVN
㽆,火田一女弓,FWMVN
㽇,竹月一女弓,HBMVN
㽈,心人一女弓,POMVN
㽉,尸田一女弓,SWMVN
㽊,火水一女弓,FEMVN
㽋,女火一女弓,VFMVN
㽌,一田一女弓,MWMVN
㽍,廿一一女弓,TMMVN
㽎,廿女中月山,TVLBU
㽏,水口廿一,ERTM
㽐,廿一廿難金,TMTXC
㽑,廿一一田十,TMMWJ
㽒,田尸竹手一,WSHQM
㽓,竹一竹一一,HMHMM
㽔,廿人竹手一,TOHQM
㽕,中田弓女尸,LWNVS
㽖,田大尸,WKS
㽗,田人,WO
㽘,田卜竹弓,WYHN
㽙,田戈竹山,WIHU
㽚,田竹手,WHQ
㽛,田心口,WPR
㽜,弓山田,NUW
㽝,一弓田,MNW
㽞,口口田,RRW
㽟,田月木戈,WBDI
㽠,田大人人,WKOO
㽡,田竹田十,WHWJ
㽢,田大中山,WKLU
㽣,田戈口一,WIRM
㽤,田心火木,WPFD
㽥,田弓竹木,WNHD
㽦,火火月田,FFBW
㽧,田廿女戈,WTVI
㽨,田廿手一,WTQM
㽩,田戈戈竹,WIIH
㽪,田金田日,WCWA
㽫,卜女土田,YVGW
㽬,一田一口田,MWMRW
㽭,田一月月,WMBB
㽮,田田田一,WWWM
㽯,田山人月,WUOB
㽰,月月弓人,BBNO
㽱,大女中,KVL
㽲,大一女尸,KMVS
㽳,大一木,KMD
㽴,大十大,KJK
㽵,大土,KG
㽶,大尸山,KSU
㽷,大水,KE
㽸,大中月山,KLBU
㽹,大竹水,KHE
㽺,大弓竹水,KNHE
㽻,大十水,KJE
㽼,大弓中,KNL
㽽,大十口,KJR
㽾,大山山,KUU
㽿,大竹女人,KHVO
㾀,大土戈,KGI
㾁,大戈十金,KIJC
㾂,大戈口,KIR
㾃,大十心,KJP
㾄,大中田,KLW
㾅,大中難竹,KLXH
㾆,大土月,KGB
㾇,大月山,KBU
㾈,大人木戈,KODI
㾉,大人戈戈,KOII
㾊,大木月,KDB
㾋,大人木,KOD
㾌,大竹土山,KHGU
㾍,大一月中,KMBL
㾎,大尸尸山,KSSU
㾏,大土土,KGG
㾐,大一弓弓,KMNN
㾑,大人一口,KOMR
㾒,大女口,KVR
㾓,大口月,KRB
㾔,大口口,KRR
㾕,大卜廿十,KYTJ
㾖,大田土,KWG
㾗,大戈日女,KIAV
㾘,大一中大,KMLK
㾙,大大大月,KKKB
㾚,大卜心一,KYPM
㾛,大尸一水,KSME
㾜,大大人人,KKOO
㾝,大十田十,KJWJ
㾞,大一金田,KMCW
㾟,大卜中竹,KYLH
㾠,大大竹土,KKHG
㾡,大土戈中,KGIL
㾢,大木人人,KDOO
㾣,大金,KC
㾤,大十金一,KJCM
㾥,大卜火水,KYFE
㾦,大卜廿口,KYTR
㾧,大田木,KWD
㾨,大大一口,KKMR
㾩,大竹十心,KHJP
㾪,大火竹山,KFHU
㾫,大戈尸月,KISB
㾬,大心心日,KPPA
㾭,大竹木火,KHDF
㾮,大竹日土,KHAG
㾯,大田一女,KWMV
㾰,大十口月,KJRB
㾱,大弓人心,KNOP
㾲,大手尸大,KQSK
㾳,大戈人女,KIOV
㾴,大木月一,KDBM
㾵,大卜口十,KYRJ
㾶,大月月月,KBBB
㾷,大竹卜山,KHYU
㾸,大卜口月,KYRB
㾹,大卜心木,KYPD
㾺,大尸手火,KSQF
㾻,大弓中木,KNLD
㾼,大卜日女,KYAV
㾽,大卜竹口,KYHR
㾾,大廿難金,KTXC
㾿,大戈戈中,KIIL
㿀,大一土土,KMGG
㿁,大竹日十,KHAJ
㿂,大山土大,KUGK
㿃,大大心月,KKPB
㿄,大尸大水,KSKE
㿅,大竹人人,KHOO
㿆,大竹木女,KHDV
㿇,大尸一日,KSMA
㿈,大女竹土,KVHG
㿉,大中一金,KLMC
㿊,大一山日,KMUA
㿋,大口口木,KRRD
㿌,大人一人,KOMO
㿍,大弓月手,KNBQ
㿎,大十廿金,KJTC
㿏,大尸口手,KSRQ
㿐,大土人弓,KGON
㿑,大尸一土,KSMG
㿒,大土弓戈,KGNI
㿓,大大人人,KKOO
㿔,大田田田,KWWW
㿕,大日弓難,KANX
㿖,大卜心廿,KYPT
㿗,大竹山金,KHUC
㿘,大火火口,KFFR
㿙,大田中大,KWLK
㿚,大田中土,KWLG
㿛,大一一心,KMMP
㿜,大月山月,KBUB
㿝,竹日戈,HAI
㿞,竹日竹手山,HAHQU
㿟,竹日竹日,HAHA
㿠,竹日火一山,HAFMU
㿡,竹日中一人,HALMO
㿢,日月竹日,ABHA
㿣,竹日日心女,HAAPV
㿤,竹日手大日,HAQKA
㿥,竹日人月土,HAOBG
㿦,土水竹日,GEHA
㿧,竹日土弓戈,HAGNI
㿨,竹日一竹一,HAMHM
㿩,竹日火月火,HAFBF
㿪,木水大弓戈,DEKNI
㿫,心心木竹水,PPDHE
㿬,木水日山,DEAU
㿭,竹卜木竹水,HYDHE
㿮,中大木竹水,LKDHE
㿯,人口木竹水,ORDHE
㿰,卜大木竹水,YKDHE
㿱,手中木竹水,QLDHE
㿲,大口木竹水,KRDHE
㿳,木水女女田,DEVVW
㿴,大十木竹水,KJDHE
㿵,木水一月大,DEMBK
㿶,卜尸木竹水,YSDHE
㿷,廿一木竹水,TMDHE
㿸,木水日田水,DEAWE
㿹,木水卜土手,DEYGQ
㿺,日水木竹水,AEDHE
㿻,一十月廿,MJBT
㿼,一廿月廿,MTBT
㿽,金一尸廿,CMST
㿾,十一弓廿,JMNT
㿿,弓人月廿,NOBT
䀀,水山月廿,EUBT
䀁,大月月廿,KBBT
䀂,十女月廿,JVBT
䀃,一人月廿,MOBT
䀄,十心竹廿,JPHT
䀅,戈土月廿,IGBT
䀆,中一火廿,LMFT
䀇,十山月廿,JUBT
䀈,日山月廿,AUBT
䀉,竹月月廿,HBBT
䀊,水竹月廿,EHBT
䀋,土田月廿,GWBT
䀌,中手一日廿,LQMAT
䀍,卜金月廿,YCBT
䀎,月山一女尸,BUMVS
䀏,心月山,PBU
䀐,月山竹竹竹,BUHHH
䀑,月山水戈,BUEI
䀒,月山竹十,BUHJ
䀓,月山大弓戈,BUKNI
䀔,月山尸竹戈,BUSHI
䀕,月山弓中,BUNL
䀖,月山一大,BUMK
䀗,月山木大,BUDK
䀘,月山一廿,BUMT
䀙,月山心尸竹,BUPSH
䀚,月山竹女中,BUHVL
䀛,月山心竹竹,BUPHH
䀜,心竹月山,PHBU
䀝,月山心心,BUPP
䀞,月山卜十,BUYJ
䀟,月山中中弓,BULLN
䀠,月山月山,BUBU
䀡,月山卜口,BUYR
䀢,月山人大,BUOK
䀣,月山心竹,BUPH
䀤,弓卜月山,NYBU
䀥,月山竹女木,BUHVD
䀦,月山十口,BUJR
䀧,月山廿金,BUTC
䀨,月山竹十口,BUHJR
䀩,月山竹水口,BUHER
䀪,月山竹人弓,BUHON
䀫,月山人一口,BUOMR
䀬,月山人一土,BUOMG
䀭,月山卜女人,BUYVO
䀮,月山卜女山,BUYVU
䀯,月山戈十月,BUIJB
䀰,月山金人口,BUCOR
䀱,月山竹水十,BUHEJ
䀲,月山人田卜,BUOWY
䀳,月山木中,BUDL
䀴,月山一女一,BUMVM
䀵,月山戈人大,BUIOK
䀶,月山戈日女,BUIAV
䀷,月山土戈尸,BUGIS
䀸,手中月山,QLBU
䀹,月山大人人,BUKOO
䀺,人大月山,OKBU
䀻,月山中田尸,BULWS
䀼,月山一一女,BUMMV
䀽,月山弓大一,BUNKM
䀾,一水月山,MEBU
䀿,月山手竹中,BUQHL
䁀,月山手竹中,BUQHL
䁁,月山卜口火,BUYRF
䁂,尸水月山,SEBU
䁃,月山手一女,BUQMV
䁄,月山土廿十,BUGTJ
䁅,月山弓木廿,BUNDT
䁆,月山大中山,BUKLU
䁇,十心竹山,JPHU
䁈,戈大月山,IKBU
䁉,戈戈月山,IIBU
䁊,月山水戈山,BUEIU
䁋,月山心廿木,BUPTD
䁌,月山田月,BUWB
䁍,月山戈竹口,BUIHR
䁎,月山卜口弓,BUYRN
䁏,月山一田女,BUMWV
䁐,月山廿中大,BUTLK
䁑,月山日一竹,BUAMH
䁒,月山口尸十,BURSJ
䁓,月山山金水,BUUCE
䁔,月山月一水,BUBME
䁕,月山口心日,BURPA
䁖,月山火木女,BUFDV
䁗,月山山一廿,BUUMT
䁘,月山月人山,BUBOU
䁙,月山日十女,BUAJV
䁚,月山口月金,BURBC
䁛,月山竹山戈,BUHUI
䁜,月山日火山,BUAFU
䁝,火火月月山,FFBBU
䁞,人人一月山,OOMBU
䁟,月山廿手一,BUTQM
䁠,月山廿難金,BUTXC
䁡,月山日弓人,BUANO
䁢,月山卜尸人,BUYSO
䁣,月山十戈戈,BUJII
䁤,月山卜金月,BUYCB
䁥,月山尸廿口,BUSTR
䁦,月山卜心一,BUYPM
䁧,月山廿中人,BUTLO
䁨,月山卜木中,BUYDL
䁩,月山弓田火,BUNWF
䁪,月山十十中,BUJJL
䁫,月山田土火,BUWGF
䁬,月山金田日,BUCWA
䁭,月山戈大大,BUIKK
䁮,月山一山日,BUMUA
䁯,月山人一一,BUOMM
䁰,月山一一金,BUMMC
䁱,月山土土山,BUGGU
䁲,月山田中金,BUWLC
䁳,月山廿戈廿,BUTIT
䁴,月山卜田一,BUYWM
䁵,月山田中女,BUWLV
䁶,月山竹尸大,BUHSK
䁷,竹月月山,HBBU
䁸,月山廿田女,BUTWV
䁹,月山尸口十,BUSRJ
䁺,月山田中十,BUWLJ
䁻,月山女戈木,BUVID
䁼,月山田火土,BUWFG
䁽,月山女女女,BUVVV
䁾,月山廿田戈,BUTWI
䁿,田大月山,WKBU
䂀,月山廿土尸,BUTGS
䂁,月山弓口戈,BUNRI
䂂,月山月山土,BUBUG
䂃,月山月田戈,BUBWI
䂄,月山月山水,BUBUE
䂅,月山女火戈,BUVFI
䂆,弓竹心戈,NHPI
䂇,弓竹弓土,NHNG
䂈,弓竹中一戈,NHLMI
䂉,弓竹人弓大,NHONK
䂊,弓竹弓日人,NHNAO
䂋,十手弓竹木,JQNHD
䂌,弓竹卜廿土,NHYTG
䂍,弓竹日廿水,NHATE
䂎,弓竹竹山金,NHHUC
䂏,人大尸竹口,OKSHR
䂐,人大山山,OKUU
䂑,人大卜一心,OKYMP
䂒,人大土口,OKGR
䂓,人大月山山,OKBUU
䂔,人大土廿十,OKGTJ
䂕,人大女弓人,OKVNO
䂖,一戈口,MIR
䂗,一口心,MRP
䂘,一口水戈,MREI
䂙,一口弓中,MRNL
䂚,一口大大,MRKK
䂛,一口弓戈弓,MRNIN
䂜,一口手十,MRQJ
䂝,一口戈,MRI
䂞,一口木,MRD
䂟,大口一口,KRMR
䂠,一口人大,MROK
䂡,一口人一,MROM
䂢,一口竹水卜,MRHEY
䂣,一口卜一心,MRYMP
䂤,一口人木戈,MRODI
䂥,一口口女心,MRRVP
䂦,一口人竹竹,MROHH
䂧,一口弓火,MRNF
䂨,一口竹一卜,MRHMY
䂩,一口田大,MRWK
䂪,一口中一人,MRLMO
䂫,一口竹水手,MRHEQ
䂬,一弓一口,MNMR
䂭,一口卜金大,MRYCK
䂮,手竹一口,QHMR
䂯,一口戈土,MRIG
䂰,一口竹木弓,MRHDN
䂱,一口金口山,MRCRU
䂲,土尸一口,GSMR
䂳,一口人人土,MROOG
䂴,一口卜一口,MRYMR
䂵,一口一月人,MRMBO
䂶,一口土戈尸,MRGIS
䂷,一口竹十心,MRHJP
䂸,一口戈口一,MRIRM
䂹,一口月火,MRBF
䂺,一口田木,MRWD
䂻,一口尸一女,MRSMV
䂼,一口人戈心,MROIP
䂽,一口卜日十,MRYAJ
䂾,一口木人人,MRDOO
䂿,一口水日,MREA
䃀,一口十中女,MRJLV
䃁,一口一中一,MRMLM
䃂,一口日心心,MRAPP
䃃,一口月廿女,MRBTV
䃄,一口卜口火,MRYRF
䃅,一口金田十,MRCWJ
䃆,一口廿一金,MRTMC
䃇,一口竹日月,MRHAB
䃈,一口心心日,MRPPA
䃉,一口口心日,MRRPA
䃊,一口廿月一,MRTBM
䃋,一口人一弓,MROMN
䃌,一口一田土,MRMWG
䃍,一口廿心人,MRTPO
䃎,一口大弓弓,MRKNN
䃏,一口日竹一,MRAHM
䃐,一口十金大,MRJCK
䃑,一口竹卜水,MRHYE
