㐀,廿一,TM
㓜,女戈尸竹,VISH
㓝,廿廿中弓,TTLN
㓞,手十尸竹,QJSH
㓟,木水中弓,DELN
㓠,卜口中弓,YRLN
㓡,人山中弓,OULN
㓢,竹口中弓,HRLN
㓣,人口中弓,ORLN
㓤,土口中弓,GRLN
㓥,火尸中弓,FSLN
㓦,一日中弓,MALN
㓧,人口中弓,ORLN
㓨,大人中弓,KOLN
㓩,弓月中弓,NBLN
㓪,戈女尸竹,IVSH
㓫,大廿中弓,KTLN
㓬,火竹中弓,FHLN
㓭,日女中弓,AVLN
㓮,月口中弓,BRLN
㓯,女田中弓,VWLN
㓰,一山中弓,MULN
㓱,人弓中弓,ONLN
㓲,戈月中弓,IBLN
㓳,日人中弓,AOLN
㓴,一大中弓,MKLN
㓵,口尸中弓,RSLN
㓶,手大中弓,QKLN
㓷,竹木中弓,HDLN
㓸,口一中弓,RMLN
㓹,一火中弓,MFLN
㓺,卜大中弓,YKLN
㓻,田一中弓,WMLN
㓼,木水中弓,DELN
㓽,山火中弓,UFLN
㓾,尸手中弓,SQLN
㓿,竹水中弓,HELN
㔀,日火中弓,AFLN
㔁,弓廿中弓,NTLN
㔂,火手中弓,FQLN
㔃,女山尸竹,VUSH
㔄,一木中弓,MDLN
㔅,中難中弓,LXLN
㔆,一日中弓,MALN
㔇,弓水中弓,NELN
㔈,廿卜中弓,TYLN
㔉,尸月中弓,SBLN
㔊,卜一中弓,YMLN
㔋,尸廿中弓,STLN
㔌,尸人中弓,SOLN
㔍,竹廿中弓,HTLN
㔎,山十尸竹,UJSH
㔏,一口中弓,MRLN
㔐,竹一中弓,HMLN
㔑,廿十尸竹,TJSH
㔒,山月中弓,UBLN
㔓,竹十大尸,HJKS
㔔,大口口,KRR
㔕,人弓大尸,ONKS
㔖,大口尸,KRS
㔗,中弓大尸,LNKS
㔘,山山大尸,UUKS
㔙,廿廿大尸,TTKS
㔚,竹口大尸,HRKS
㔛,土口大尸,GRKS
㔜,月木大尸,BDKS
㔝,一月大尸,MBKS
㔞,竹心大尸,HPKS
㔟,竹戈大尸,HIKS
㔠,日女大尸,AVKS
㔡,竹心大尸,HPKS
㔢,女山大尸,VUKS
㔣,田田大尸,WWKS
㔤,十田大尸,JWKS
㔥,田心大尸,WPKS
㔦,廿女大尸,TVKS
㔧,卜廿大尸,YTKS
㔨,心中心月,PLPB
㔩,心土戈廿,PGIT
㔪,心卜田戈,PYWI
㔫,大心,KP
㔬,心日十,PAJ
㔭,心日一人,PAMO
㔮,廿人戈月心,TOIBP
㔯,尸竹弓口,SHNR
㔰,尸弓戈卜,SNIY
㔱,尸竹難人,SHXO
㔲,尸人戈弓,SOIN
㔳,尸人戈弓,SOIN
㔴,尸田廿金,SWTC
㔵,尸口山金,SRUC
㔶,尸卜十金,SYJC
㔷,尸一人月,SMOB
㔸,尸竹卜山,SHYU
㔹,十大尸,JKS
㔺,十心十,JPJ
㔻,一火十,MFJ
㔼,手土十,QGJ
㔽,卜田口,YWR
㔾,尸山,SU
㔿,一女中,MVL
㕀,中田尸山,LWSU
㕁,大戈尸中,KISL
㕂,一人戈弓,MOIN
㕃,一一廿,MMT
㕄,一一女戈,MMVI
㕅,一田中,MWL
㕆,一十口,MJR
㕇,一卜廿,MYT
㕈,一卜竹女,MYHV
㕉,一人一口,MOMR
㕊,一戈十月,MIJB
㕋,一金,MC
㕌,一日一戈,MAMI
㕍,一人土,MOG
㕎,一土戈廿,MGIT
㕏,一一廿十,MMTJ
㕐,一竹難火,MHXF
㕑,一土廿戈,MGTI
㕒,一廿土戈,MTGI
㕓,一田土土,MWGG
㕔,一尸土心,MSGP
